Course Link,Title,Short Description,Length,Effort,Price,Institution,Subject,Level,Prerequisites
https://www.edx.org/course/computing-in-python-i-fundamentals-and-procedural,Computing in Python I: Fundamentals and Procedural Programming,"Learn the fundamentals of computing in Python, including variables, operators, and writing and debugging your own programs.",5 Weeks,9-10 hours per week,$99 USD,GTx,Computer Science,Introductory,"This course presupposes no prior knowledge beyond basic arithmetic; knowledge of high school-level algebra, however, is desirable."
https://www.edx.org/course/introduction-to-c-3,Introduction to C++,Get a brief introduction to the C++ language from the experts at Microsoft.,4 Weeks,3-5 hours per week,$99 USD,Microsoft,Computer Science,Introductory,"This course consists of four modules that provide an introduction to the C++ programming language. As a result, there are no prerequisites for this course. However, it is recommended that students have some understanding of basic computer operation, the ability to install applications, and the ability work within a command line on their chosen operating system."
https://www.edx.org/course/marketing-digital-content-community-manager,Marketing Digital: Content & Community Manager,"Aprende a crear estrategias de marketing de contenidos y domina Facebook, Instagram, YouTube, Twitter y más. Mide KPIs y obten resultados.",5 Weeks,3-4 hours per week,$49 USD,GalileoX,Communication,Introductory,Requisitos previos:
https://www.edx.org/course/fundamentals-of-neuroscience-part-2-neurons-and-ne,"Fundamentals of Neuroscience, Part 2: Neurons and Networks",Discover how neurons work together to create complex networks inside the brain.,6 Weeks,3-5 hours per week,$99 USD,HarvardX,Biology & Life Sciences,Introductory,None.
https://www.edx.org/course/analyzing-data-with-python,Analyzing Data with Python,"In this course, you will learn how to analyze data in Python using multi-dimensional arrays in numpy, manipulate DataFrames in pandas, use SciPy library of mathematical routines, and perform machine learning using scikit-learn!",5 Weeks,2-4 hours per week,$39 USD,IBM,Data Analysis & Statistics,Introductory,Some Python Experience
https://www.edx.org/course/bioethics-the-law-medicine-and-ethics-of-reproduct,"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",An introduction to the study of bioethics and the application of legal and ethical reasoning.,10 Weeks,1-2 hours per week,"₹7,416",HarvardX,Medicine,Introductory,Missing
https://www.edx.org/course/shakespeares-life-and-work,Shakespeare's Life and Work,"Learn how to read William Shakespeare's plays through his biography, Elizabethan and Jacobean history, and modern performance.",4 Weeks,5-7 hours per week,$49 USD,HarvardX,Humanities,Introductory,Missing
https://www.edx.org/course/anatomyx-musculoskeletal-cases,AnatomyX: Musculoskeletal Cases,Learn the anatomy basic to understanding five musculoskeletal injuries commonly seen in primary care medicine and orthopedic clinical specialty practice. Follow hypothetical patients from injury to operating room.,7 Weeks,3-6 hours per week,$99 USD,HarvardX,Medicine,Intermediate,None.
https://www.edx.org/course/academic-and-business-writing,Academic and Business Writing,"An introduction to academic and business writing for English Language Learners, focusing on grammar, vocabulary, structure, editing, and publication.",6 Weeks,3-5 hours per week,$49 USD,BerkeleyX,Communication,Introductory,Missing
https://www.edx.org/course/intro-to-data-science,Introduction to Data Science,Learn about the world of data science first-hand from real data scientists.,6 Weeks,3-6 hours per week,$39 USD,IBM,Data Analysis & Statistics,Introductory,Missing
